Name,Address,City,State,Zip,Phone,Website,Type
Cookies - Detroit,6030 8 Mile Road,Detroit,MI,48234,(313) 242-6080,https://shop.gagecannabis.com/cookiesdetroit,Recreational & Medical
Cookies - Ann Arbor,2460 W Stadium Blvd,Ann Arbor,MI,48103,(734) 436-1551,https://shop.gagecannabis.com/cookiesannarbor,Recreational & Medical
Cookies - Kalamazoo,2712 Portage Street,Kalamazoo,MI,49001,,https://gagecannabis.com,Recreational & Medical
Cookies - Grand Rapids,,,Grand Rapids,MI,,,https://gagecannabis.com,Recreational & Medical
Cookies - Jackson,118 N. Columbus St,Jackson,MI,,,https://gagecannabis.com,Recreational & Medical
Cookies - Monroe,14750 Laplaisance Rd Unit H260,Monroe,MI,48161,(734) 418-7255,https://gagecannabis.com,Recreational & Medical
Exclusive - Ann Arbor,3820 Varsity Dr,Ann Arbor,MI,48108,(734) 494-0772,https://exclusivemi.com,Recreational & Medical
Exclusive - Coldwater,599 E Chicago St,Coldwater,MI,49036,(517) 855-2178,https://exclusivemi.com,Recreational & Medical
Exclusive - Grand Rapids,2350 29th St SE,Grand Rapids,MI,49508,(616) 888-6753,https://exclusivemi.com,Recreational & Medical
Exclusive - Kalamazoo,937 Foster Ave,Kalamazoo,MI,49048,(269) 447-1779,https://exclusivemi.com,Recreational & Medical
Exclusive - Lowell,,,Lowell,MI,,,https://exclusivemi.com,Recreational & Medical
Exclusive - Monroe,,,Monroe,MI,,,https://exclusivemi.com,Recreational & Medical
Exclusive - Muskegon,,,Muskegon,MI,,,https://exclusivemi.com,Recreational & Medical
JARS Cannabis - New Buffalo,19799 US 12,New Buffalo,MI,49117,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - New Buffalo 2,11451 O'Brien Ct,New Buffalo,MI,49117,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Monroe,15519 S Telegraph Rd,Monroe,MI,48161,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Ann Arbor,3005 Packard St,Ann Arbor,MI,48197,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Hazel Park,20731 Dequindre Rd,Hazel Park,MI,48030,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Lansing,6450 S Cedar St,Lansing,MI,48911,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Detroit,,,Detroit,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Riverview,,,Riverview,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Port Huron,,,Port Huron,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Chesterfield Township,,,Chesterfield Township,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Grand Rapids Alpine,,,Grand Rapids,MI,,,https://jarscannabis.com,Recreational & Medical
JARS Cannabis - Saugatuck,,,Saugatuck,MI,,,https://jarscannabis.com,Recreational & Medical
Gage Cannabis - Burton,1234 North Center Road,Burton,MI,48509,(810) 243-4243,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Battle Creek,48 Main Street,Battle Creek,MI,49014,(269) 234-7223,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Detroit,,,Detroit,MI,,,https://gagecannabis.com,Recreational & Medical
Gage Cannabis - Ferndale,,,Ferndale,MI,,,https://gagecannabis.com,Recreational & Medical
House of Dank - 8 Mile,6640 E 8 Mile Rd,East Detroit,MI,48234,,https://shophod.com,Recreational & Medical
House of Dank - Gratiot,,,Detroit,MI,,,https://shophod.com,Recreational & Medical
House of Dank - Livernois,,,Detroit,MI,,https://shophod.com,Medical
House of Dank - Fort Street,,,Detroit,MI,,https://shophod.com,Recreational
House of Dank - Center Line,,,Center Line,MI,,https://shophod.com,Recreational
House of Dank - Ann Arbor,,,Ann Arbor,MI,,,https://shophod.com,Recreational & Medical
House of Dank - Monroe,14750 Laplaisance Rd Ste H160,Monroe,MI,48161,,https://shophod.com,Recreational
House of Dank - Ypsilanti,,,Ypsilanti,MI,,https://shophod.com,Recreational
House of Dank - Grand Rapids,3510 E Mall Dr SE,Grand Rapids,MI,49546,,https://shophod.com,Recreational & Medical
House of Dank - Lansing,2905 N East St,Lansing,MI,48906,,https://shophod.com,Recreational & Medical
House of Dank - Traverse City,514 Munson Ave,Traverse City,MI,49686,,https://shophod.com,Recreational & Medical
House of Dank - Saginaw,3054 E Holland Rd,Saginaw,MI,48601,,https://shophod.com,Recreational & Medical
House of Dank - Kalamazoo,,,Kalamazoo,MI,,,https://shophod.com,Recreational & Medical
Lume Cannabis - Adrian,,,Adrian,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Ann Arbor,,,Ann Arbor,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Berkley,,,Berkley,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Big Rapids,,,Big Rapids,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Cadillac,,,Cadillac,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Cedar Springs,,,Cedar Springs,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Coldwater,,,Coldwater,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Escanaba,,,Escanaba,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Evart,,,Evart,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Gaylord,,,Gaylord,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Grand Rapids,,,Grand Rapids,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Honor,,,Honor,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Houghton,,,Houghton,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Iron Mountain,,,Iron Mountain,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Jackson,,,Jackson,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Kalamazoo,,,Kalamazoo,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Kalkaska,,,Kalkaska,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Lowell,,,Lowell,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mackinaw City,,,Mackinaw City,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Manistique,,,Manistique,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Monroe,,,Monroe,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mount Pleasant 1,,,Mount Pleasant,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Mount Pleasant 2,,,Mount Pleasant,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Negaunee,,,Negaunee,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Owosso,,,Owosso,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Oxford,,,Oxford,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petersburg,,,Petersburg,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petoskey 1,,,Petoskey,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Petoskey 2,,,Petoskey,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Portage,,,Portage,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Saginaw,3446 State St,Saginaw,MI,48602,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Sault Ste Marie,,,Sault Ste Marie,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Southfield,,,Southfield,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Walled Lake,,,Walled Lake,MI,,,https://www.lume.com,Recreational & Medical
Lume Cannabis - Frankenmuth,,,Frankenmuth,MI,,,https://www.lume.com,Recreational & Medical
Skymint - Lansing,2508 S Cedar St,Lansing,MI,,,https://skymint.com,Recreational & Medical
Skymint - East Lansing,,,East Lansing,MI,,,https://skymint.com,Recreational & Medical
Skymint - Flint,4405 W. Pierson Rd,Flint,MI,48504,(810) 275-1805,https://skymint.com,Recreational & Medical
Skymint - Kalamazoo,3630 Gull Rd,Kalamazoo,MI,49048,(269) 218-0431,https://skymint.com,Recreational & Medical
Skymint - Muskegon,2345 E Apple Ave,Muskegon,MI,49442,(231) 900-1374,https://skymint.com,Recreational & Medical
Skymint - Portage,8542 Shaver Rd,Portage,MI,49024,(616) 330-3076,https://skymint.com,Recreational & Medical
Skymint - Detroit,,,Detroit,MI,,,https://skymint.com,Recreational & Medical
Skymint - Ann Arbor,,,Ann Arbor,MI,,,https://skymint.com,Recreational & Medical
Skymint - Grand Rapids,,,Grand Rapids,MI,,,https://skymint.com,Recreational & Medical
Skymint - Battle Creek,,,Battle Creek,MI,,,https://skymint.com,Recreational & Medical
Cloud Cannabis - Ann Arbor,,,Ann Arbor,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Cedar Springs,,,Cedar Springs,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Detroit,,,Detroit,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Gaylord,,,Gaylord,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Grand Rapids 28th St,,,Grand Rapids,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Grand Rapids Fulton St,,,Grand Rapids,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Kalamazoo,521 East Mosel Avenue,Kalamazoo,MI,49004,(269) 201-2300,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Muskegon,,,Muskegon,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - New Baltimore,,,New Baltimore,MI,,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Traverse City,356 Munson Ave,Traverse City,MI,49686,,https://cloudcannabis.com,Recreational & Medical
Cloud Cannabis - Utica,,,Utica,MI,,,https://cloudcannabis.com,Recreational & Medical
Information Entropy - Ann Arbor Broadway,1115 Broadway St,Ann Arbor,MI,48105,,https://informationentropy.com,Recreational
Information Entropy - New Buffalo,18350 U.S. 12,New Buffalo,MI,49117,,https://informationentropy.com,Recreational
Information Entropy - Ann Arbor Miller Ave,,,Ann Arbor,MI,,,https://informationentropy.com,Recreational
Quality Roots - Waterford,1700 Tull Ct,Waterford Township,MI,48327,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Hamtramck,,,Hamtramck,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Battle Creek,1028 E Michigan Ave,Battle Creek,MI,49014,(269) 719-8600,https://getqualityroots.com,Recreational & Medical
Quality Roots - Detroit,,,Detroit,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Madison Heights,,,Madison Heights,MI,,,https://getqualityroots.com,Recreational & Medical
Quality Roots - Owosso,,,Owosso,MI,,,https://getqualityroots.com,Recreational & Medical
Pure Options - Muskegon,,,Muskegon,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Detroit,,,Detroit,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Mt. Pleasant,,,Mt. Pleasant,MI,,,https://pureoptions.com,Recreational & Medical
Pure Options - Lansing,,,Lansing,MI,,,https://pureoptions.com,Recreational & Medical
Common Citizen - Detroit,,,Detroit,MI,,,https://commoncitizen.com,Recreational & Medical
Common Citizen - Flint,,,Flint,MI,,,https://commoncitizen.com,Recreational & Medical
Common Citizen - Battle Creek,1240 E Columbia Ave,Battle Creek,MI,49014,(269) 719-8500,https://commoncitizen.com,Recreational & Medical
Ascend Cannabis - Detroit,,,Detroit,MI,,,https://letsascend.com,Recreational & Medical
Ascend Cannabis - East Lansing,,,East Lansing,MI,,,https://letsascend.com,Recreational & Medical
Mint Cannabis - Coldwater,,,Coldwater,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Kalamazoo,730 East Cork Street,Kalamazoo,MI,49001,(269) 743-7444,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Monroe,,,Monroe,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Portage,,,Portage,MI,,,https://themintcannabis.com,Recreational & Medical
Mint Cannabis - Oxford,,,Oxford,MI,,,https://themintcannabis.com,Recreational & Medical
NOXX - Ferndale,,,Ferndale,MI,,,https://noxx.com,Recreational & Medical
NOXX - Grand Rapids,,,Grand Rapids,MI,,,https://noxx.com,Recreational & Medical
Corktown Collective,,,Detroit,MI,,,https://www.corktowncollective.com,Recreational & Medical
Greentown Cannabis,,,Detroit,MI,,,https://www.greentowncannabis.com,Recreational & Medical
Utopia Gardens,,,Detroit,MI,,,https://www.utopiagardens.com,Recreational & Medical
Clarity Cannabis,,,Detroit,MI,,,https://www.claritycannabis.com,Recreational & Medical
Dream Dispensary,,,Detroit,MI,,,https://www.dreamdispensary.com,Recreational & Medical
The Woods Detroit,,,Detroit,MI,,,https://www.thewoodsdetroit.com,Recreational & Medical
Pharmhouse Wellness,,,Grand Rapids,MI,,,https://www.pharmhousewellness.com,Recreational & Medical
Space Cadet Cannabis,,,Grand Rapids,MI,,,https://www.spacecadetcannabis.com,Recreational & Medical
King Of Budz,,,Grand Rapids,MI,,,https://www.kingofbudz.com,Recreational & Medical
Olswell - Grand Rapids,1940 28th St SE,Grand Rapids,MI,49508,,https://olswell.com,Recreational & Medical
Olswell - Traverse City,728 E Front St,Traverse City,MI,49686,,https://olswell.com,Recreational & Medical
High Profile - Grand Rapids,,,Grand Rapids,MI,,,https://highprofilecannabis.com,Recreational & Medical
The Cake House - Ann Arbor,,,Ann Arbor,MI,,,https://cakehousecannabis.com,Recreational
Bloom City Club - Ann Arbor,,,Ann Arbor,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Ypsilanti,,,Ypsilanti,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Sturgis,,,Sturgis,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Paw Paw,,,Paw Paw,MI,,,https://www.bloomcityclub.com,Recreational & Medical
Bloom City Club - Battle Creek,1193 Michigan Ave E,Battle Creek,MI,49014,(269) 224-6237,https://www.bloomcityclub.com,Recreational & Medical
Butter Dispensary - Ann Arbor,,,Ann Arbor,MI,,,https://www.butterdispensary.com,Recreational & Medical
Apothecare - Ann Arbor,,,Ann Arbor,MI,,,https://www.apothecarecannabis.com,Recreational & Medical
North Coast Provisions - Ann Arbor,,,Ann Arbor,MI,,,https://www.northcoastprovisions.com,Recreational & Medical
First Class Cannabis - Ann Arbor,,,Ann Arbor,MI,,,https://firstclasscannabisannarbor.com,Recreational & Medical
Bazonzoes - Lansing,2101 West Willow Street,Lansing,MI,48917,,https://bazonzoesmi.com,Recreational & Medical
Homegrown Cannabis Company - Lansing,,,Lansing,MI,,,https://www.homegrowncannabis.com,Recreational & Medical
The Botanical - Lansing,,,Lansing,MI,,,https://www.thebotanical.com,Recreational & Medical
Mango Cannabis - Lansing,,,Lansing,MI,,,https://mangocannabis.com,Recreational & Medical
Cannaplug - Lansing,,,Lansing,MI,,,https://cannaplugmi.com,Recreational & Medical
Pleasantrees - East Lansing,,,East Lansing,MI,,,https://enjoypleasantrees.com,Recreational & Medical
High Society - East Lansing,,,East Lansing,MI,,,https://www.highsocietyeastlansing.com,Recreational & Medical
Simply Loud Dispensary - East Lansing,,,East Lansing,MI,,,https://www.simplyloud.com,Recreational & Medical
Flora - East Lansing,,,East Lansing,MI,,,https://www.floraeastlansing.com,Recreational & Medical
Lighthouse Dispensary - Traverse City,704 South Garfield Avenue,Traverse City,MI,,,https://www.lighthousedispo.com,Recreational & Medical
Stash House Dispensary - Traverse City,1525 S Division St Ste 101 & 102,Traverse City,MI,49684,,https://www.stashhousetc.com,Recreational & Medical
Puff Cannabis - Traverse City,,,Traverse City,MI,,,https://www.shoppuff.com,Recreational & Medical
Higher Love - Marquette,344 W Washington St,Marquette,MI,49855,,https://findhigherlove.com,Recreational & Medical
Nirvana Center - Marquette,2373 US Hwy 41,Marquette,MI,49855,,https://www.nirvanacenter.com,Recreational & Medical
Firelight - Marquette,918 CR-480,Marquette,MI,49855,,https://firelightandco.com,Recreational & Medical
Bloom & Blaze - Saginaw,203 South Washington Ave,Saginaw,MI,,,https://shopbloomandblaze.com,Recreational & Medical
STIIIZY - Ferndale,642 E 9 Mile Rd Ste 1B,Ferndale,MI,48220,,https://www.stiiizy.com,Recreational & Medical
Nature's Remedy - Ferndale,,,Ferndale,MI,,,https://www.naturesremedycannabis.com,Recreational & Medical
LIV Cannabis - Ferndale,,,Ferndale,MI,,,https://www.livcannabis.com,Recreational & Medical
Green Buddha - Ferndale,,,Ferndale,MI,,,https://www.greenbuddha.com,Recreational & Medical
Breeze - Hazel Park,,,Hazel Park,MI,,,https://www.breezedispensary.com,Recreational & Medical
The Reef - Detroit,6640 E 8 Mile,Detroit,MI,48234,,https://reef-dispensary.com,Recreational & Medical
The Reef - Muskegon Heights,,,Muskegon Heights,MI,,,https://reef-dispensary.com,Recreational & Medical
20 Past 4 - Jackson,,,Jackson,MI,,,https://www.20past4michigan.com,Recreational & Medical
Redbud Roots - Kalamazoo,218 E Stockbridge Ave,Kalamazoo,MI,49001,(269) 459-6315,https://redbudroots.com,Recreational & Medical
Breaking Bud Cannabis Co - Battle Creek,449 Capital Ave NE,Battle Creek,MI,49017,(269) 224-6146,https://breakingbudcannabis.com,Recreational & Medical
Misty Mountain Cannabis - Bay City,,,Bay City,MI,,,https://mistymountaincanna.com,Recreational & Medical
Puff Cannabis - Bay City,,,Bay City,MI,,,https://www.shoppuff.com,Recreational & Medical
Green Stem Provisioning - Niles,,,Niles,MI,,,https://greenstemmi.com,Recreational & Medical
Greenstone Provisions - Ann Arbor,,,Ann Arbor,MI,,,https://www.green-stoneretail.com,Recreational & Medical
Dispo - Michigan,,,Michigan,MI,,,https://disposhops.com,Recreational & Medical
Liberty Cannabis - Detroit,,,Detroit,MI,,,https://libertycannabis.com,Recreational & Medical
Liberty Cannabis - Madison Heights,,,Madison Heights,MI,,,https://libertycannabis.com,Recreational & Medical